opis_id,name,address,city,state,lat,lon,price
67698,FRONTIER TRAVEL CENTER,US-12 & US-85,Bowman,ND,46.184324,-103.402946,3.532333
72108,FARMERS UNION OIL OF CARPIO,US-52 & SR-28,Carpio,ND,48.443445,-101.716317,3.384000
52603,CASEYS #3364,US-281 & SR-200,Carrington,ND,47.453046,-99.131166,3.439000
67701,MARATHON,"I-94, EXIT 331",Casselton,ND,46.896365,-97.212604,3.315667
72025,CENEX,US-2,Devils Lake,ND,48.112578,-98.874762,3.240667
61266,CENEX CONVENIENCE STORE,US-2 & SR-19,Devils Lake,ND,48.112578,-98.874762,3.249000
68741,COUNTY LINE TRUCK STOP,SR-22,Dickinson,ND,46.892685,-102.797343,3.532333
4301,TIGER DISCOUNT TRUCKSTOP,"I-94, EXIT 64 & I-94 BUS",Dickinson,ND,46.892685,-102.797343,3.515667
71481,Loves Travel Stop #843,"I-29, Exit 187",Drayton,ND,48.562060,-97.179496,3.565667
6462,ARCO #471770,US-281 & SR-5,Dunseith,ND,48.813033,-100.062233,3.499000
2910,FLYING J TRAVEL PLAZA #685,"I-29 & I- 94, EXIT 349",Fargo,ND,46.864690,-96.829073,3.569000
67357,LOVES TRAVEL STOP #353,"I-29, EXIT 62",Fargo,ND,46.864690,-96.829073,3.525667
6716,MARATHON,"I-29/US-81, EXIT 65 & I-94 BUS/US-10",Fargo,ND,46.864690,-96.829073,3.449000
52477,PETRO FARGO #361,"I-94, EXIT 348",Fargo,ND,46.864690,-96.829073,3.499000
6721,STAMART 1222,"I-29, EXIT 64",Fargo,ND,46.864690,-96.829073,3.385667
72028,CENEX,US-52 & SR-15,Fessenden,ND,47.649308,-99.627008,3.531000
61269,FLYING J #489,"I-29, EXIT 138",Grand Forks,ND,47.919595,-97.087328,3.615667
65273,SIMONSON TRAVEL CENTER,"I-29, EXIT 141 & US-2",Grand Forks,ND,47.919595,-97.087328,3.539000
6725,TA EXPRESS GRAND FORKS #948,"I-29, EXIT 141 & US-2",Grand Forks,ND,47.919595,-97.087328,3.539000
69021,SWEET CRUDE TRAVEL CENTER,HWY 85 & SR 200,Grassy Butte,ND,47.395292,-103.249077,3.640667
73067,J STARR,I-29 EXIT 8,Hankinson,ND,46.074053,-96.891028,3.499000
72031,CENEX HARWOOD,"I-29/US-81, EXIT 72",Harwood,ND,46.966337,-96.877615,3.359000
7189,S and R Truck Plaza,"I-94, EXIT 260",Jamestown,ND,46.905851,-98.693579,3.585667
2963,SUPERPUMPER #26,"I-94, EXIT 258 & US-281",Jamestown,ND,46.905851,-98.693579,3.629000
20006,CENEX C STORE,US-52,Kenmare,ND,48.672812,-102.072030,3.467333
71564,GRAB N GO,SR-200 & SR-22,Killdeer,ND,47.368761,-102.746214,3.549000
72620,CENEX,US-2,Leeds,ND,48.286803,-99.429551,3.249000
5606,FLYING J #511,"I-94, EXIT 147",Mandan,ND,46.829484,-100.887060,3.952333
72476,Mandan Cardlock (Bulk Plant),"I-94, EXIT 153",Mandan,ND,46.829484,-100.887060,3.599000
6744,FLYING J #550,US-2/US-52,Minot,ND,48.236141,-101.277578,3.935667
6219,SCHATZ CROSSROADS,US-2 /US-52,Minot,ND,48.236141,-101.277578,3.549000
68644,SUPERPUMPER #32,US-2,Minot,ND,48.236141,-101.277578,3.599000
70233,RUDS,SR-31 & I-94 EXIT 127,New Salem,ND,46.843050,-101.417941,3.499000
69480,VAN HOOK TRAVEL CENTER,US-23,New Town,ND,47.989075,-102.488305,3.562333
70445,CASEYS #3514,SR-1,Oakes,ND,46.139704,-98.087123,3.382333
478,GASTRAK OF PEMBINA,"I-29, EXIT 215",Pembina,ND,48.967087,-97.246861,3.299000
72026,CENEX,"I-94, EXIT 84 & SR-8",Richardton,ND,46.884816,-102.339088,3.509000
65274,CENEX C STORE,US-2 & SR-3,Rugby,ND,48.365422,-99.990223,3.399000
72024,CENEX,US-2,Stanley,ND,48.313526,-102.400796,3.582333
69079,Circle K #2746432,SR-2,Stanley,ND,48.313526,-102.400796,3.549000
2929,TA EXPRESS STEELE,"I-94, EXIT 200 & SR- 3",Steele,ND,46.856801,-99.918126,3.599000
56,TOPS TRUCK STOP,"I-94, EXIT 182 & US-83",Sterling,ND,46.851260,-100.267087,3.515667
72029,CENEX,SR-40,Tioga,ND,48.394617,-102.943490,3.575667
7190,Tower Travel Center,"I-94, EXIT 307",Tower City,ND,46.926308,-97.676035,3.515667
71170,LOVES TRAVEL STOP #849,"I-94, EXIT 292 & CR-21",Valley City,ND,46.920858,-98.005237,3.969000
61271,MARATHON,"I-94, EXIT 292",Valley City,ND,46.920858,-98.005237,3.499000
71257,FARMERS UNION SOUTHERN VALLEY,US-75 & SR-210,Wahpeton,ND,46.272083,-96.612203,3.499000
72948,CIRCLE K #2746514,SR-23,Watford City,ND,47.802746,-103.264774,3.599000
65915,Marathon,"I-94/US-52, EXIT 346 & CR-17",West Fargo,ND,46.858932,-96.905563,3.029000
62753,PETRO SERVE USA,US-10,West Fargo,ND,46.858932,-96.905563,3.029000
69894,Circle K #2746446,US-2,Williston,ND,48.189496,-103.649117,4.042333
68663,LOVES TRAVEL STOP #474,US-85/US-2 & CR-6,Williston,ND,48.189496,-103.649117,3.519000
68656,TA Express Williston,US-2 & US-85,Williston,ND,48.189496,-103.649117,3.447333
68062,FARMERS UNION OIL,US-83,Wilton,ND,47.158009,-100.783967,3.899000
7264,TA GRAND ISLAND WEST TRAVEL CENTER,"I-80, EXIT 305",Alda,NE,40.866567,-98.468050,3.169000
69800,MAVERIK COUNTRY STORE #502,US-385 & SR-2,Alliance,NE,42.102553,-102.876885,3.259000
442,WESTERN COOP,US-385 & SR-2,Alliance,NE,42.102553,-102.876885,3.324000
60420,PUMP & PANTRY #35,US-183,Alma,NE,40.103463,-99.365616,3.459000
70746,CASEYS #3085,US-34 & SR-14,Aurora,NE,40.863867,-98.006966,3.099000
66236,LOVES TRAVEL STOP #309,"I-80, EXIT 332 & SR-14",Aurora,NE,40.863867,-98.006966,3.289000
63738,U STOP 33,US-77,Beatrice,NE,40.273281,-96.745954,3.399000
69380,CASEYS #2967,SR-43 & SR-2,Bennet,NE,40.681727,-96.503932,3.229000
20009,BIG SPRINGS TRUCK AND TRAVEL,"I-80, EXIT 107",Big Springs,NE,41.060902,-102.074466,3.074000
7263,FLYING J #904,"I-80, EXIT 107",Big Springs,NE,41.060902,-102.074466,3.482333
72675,Maverik Country Store #715,I-80 EXIT 107,Big Springs,NE,41.060902,-102.074466,3.100667
68868,PUMP & PANTRY #14,SR-92/SR-2,Broken Bow,NE,41.405188,-99.640758,3.299000
72329,TROTTERS,SR-2,Broken Bow,NE,41.405188,-99.640758,3.299000
72360,PUMP & PANTRY #22,SR-91 & SR-11,Burwell,NE,41.780044,-99.134214,3.299000
68869,PUMP & PANTRY #4,SR-2 & SR-11,Cairo,NE,41.004776,-98.600552,3.327333
70792,ANEW TRAVEL CENTER,US-6/34 & CR-410,Cambridge,NE,40.284302,-100.165800,3.364000
66241,PUMP & PANTRY #29,US-30,Central City,NE,41.113043,-98.000335,3.337333
68073,BIG BATS 2,US-20,Chadron,NE,42.825975,-103.002478,3.699000
63583,CUBBYS #110,"I-80, EXIT 353",Columbus,NE,41.437087,-97.358615,3.179000
5579,SAPP BROS TRAVEL CENTER,US-30,Columbus,NE,41.437087,-97.358615,3.219000
63582,T BONE TRUCK STOP,US-30,Columbus,NE,41.437087,-97.358615,3.099000
67683,CASEYS #2734,"I-80, EXIT 222",Cozad,NE,40.861301,-99.986366,3.032333
72728,CASEYS #4304,FM 103 & Belten Dr,Crete,NE,40.624769,-96.952498,3.457333
72362,PUMP & PANTRY #18,US-281 & CR-11,Doniphan,NE,40.774465,-98.371523,3.307333
71146,CASEYS #2968,US-34,Eagle,NE,40.815943,-96.432585,3.239000
68068,ELGIN ONE STOP,SR-14 & SR-70,Elgin,NE,41.983115,-98.082773,3.137333
72740,Caseys #4303,"I-80, EXIT 257 & US-183",Elm Creek,NE,40.720084,-99.375590,3.032333
6093,ONE9 #901,"I-80 & US-183, EXIT 257",Elm Creek,NE,40.720084,-99.375590,2.965667
6097,SAPP BROS TRAVEL CENTER,"I-80, EXIT 263",Elm Creek,NE,40.720084,-99.375590,3.187333
68671,CASEYS #2969,US-81 & RD F,Fairmont,NE,40.633554,-97.584954,3.282333
71787,PUMP & PANTRY #55,US-159 & US-73,Falls City,NE,40.062208,-95.599013,3.239000
69701,PUMP & PANTRY #48,US-30 & SR-25,Fremont,NE,41.439842,-96.487000,3.319000
6693,SAPP BROS TRAVEL CENTER,US-77,Fremont,NE,41.439842,-96.487000,3.345667
72551,Good 2 Go,US-81,Geneva,NE,40.530692,-97.597135,3.365667
71662,PUMP & PANTRY #33,SR-22/39,Genoa,NE,41.445874,-97.733273,3.289000
70782,CASEYS #3465,"I-80, EXIT 285 & US-30",Gibbon,NE,40.745932,-98.845848,3.049000
71228,SHELL,"I-80, EXIT 279 & SR-10",Gibbon,NE,40.745932,-98.845848,3.299000
62768,PUMP & PANTRY #34,US-20 & SR-27,Gordon,NE,42.806378,-102.204002,3.449000
151,CUBBYS #2101,"I-80, EXIT 211 & SR-47",Gothenburg,NE,40.924676,-100.153929,3.132333
65914,CASEYS #2732,US-30 & US-284/SR-2,Grand Island,NE,40.921352,-98.358559,3.149000
